,Date,SMB
152,2001-08-10,0.002309519882173
153,2001-08-13,0.00325946301369577
154,2001-08-14,-0.0117557281232169
155,2001-08-15,-0.00450806984349069
156,2001-08-16,-0.000219052455665275
157,2001-08-17,-0.0101056034173092
158,2001-08-20,0.0169325744635703
159,2001-08-21,-0.0236751069109439
160,2001-08-22,-0.00982576128930994
161,2001-08-23,0.0203835306147852
162,2001-08-24,-0.00939825158103577
163,2001-08-27,0.00197301013231514
164,2001-08-28,-0.0131773891012617
165,2001-08-29,0.0041869500076884
166,2001-08-30,-0.00597740658212293
167,2001-08-31,0.00378623715928107
168,2001-09-03,0.0258893795204396
169,2001-09-04,-0.0116353798509853
170,2001-09-05,-0.0118877294399345
171,2001-09-06,0.010641688432232
172,2001-09-10,0.0122618606179503
